Name,Owner,Description,GitHub URL,Repository Size,Number of stars,Number of forks,Number of open issues,List of topics,License,has_readme,has_contributing,has_code_of_conduct,has_pr_template,has_issue_template,has_newcomer_labels,found_newcomer_labels,contributors_count,commits_count,first_contributor_date,first_commit_files_changed,first_commit_additions,first_commit_deletions,first_commit_type,owner_type,size,subscribers_count,watchers_count,languages,full_name,distros_present,exclusion_reasons
ament_vitis,ros-acceleration,CMake macros and utilities to include Vitis platform into the ROS 2 build system (ament) and its development flows.,https://github.com/ros-acceleration/ament_vitis,83,9,9,0,,Apache-2.0,True,False,False,False,False,True,good first issue,1,46,,0,0,0,,,83,3,9,CMake,ros-acceleration/ament_vitis,humble|jazzy|kilted,inactive_6mo
apriltag_mit,ros-misc-utilities,"The MIT implementation of the Apriltag detector, modified to build under ROS2",https://github.com/ros-misc-utilities/apriltag_mit,563,7,2,0,,LGPL-2.1,True,False,False,False,False,True,good first issue,2,35,,0,0,0,,,563,1,7,C++;CMake,ros-misc-utilities/apriltag_mit,humble|jazzy|kilted,inactive_6mo
apriltag_msgs,christianrauch,AprilTag message definitions,https://github.com/christianrauch/apriltag_msgs,5,14,35,0,apriltags;ros2,,False,False,False,False,False,True,good first issue,1,12,,0,0,0,,,5,1,14,CMake,christianrauch/apriltag_msgs,humble|jazzy|kilted,inactive_6mo
as2_platform_crazyflie,aerostack2,,https://github.com/aerostack2/as2_platform_crazyflie,85,0,2,3,,BSD-3-Clause,True,True,False,False,False,True,good first issue,3,30,,0,0,0,,,85,2,0,C++;Python;CMake,aerostack2/as2_platform_crazyflie,humble,inactive_6mo
as2_platform_dji_osdk,aerostack2,,https://github.com/aerostack2/as2_platform_dji_osdk,59,0,1,3,,BSD-3-Clause,True,True,False,False,False,True,good first issue,3,15,,0,0,0,,,59,1,0,C++;CMake;Python,aerostack2/as2_platform_dji_osdk,humble,inactive_6mo
avt_vimba_camera,astuff,ROS1/2 Driver for AVT cameras using VIMBA SDK.,https://github.com/astuff/avt_vimba_camera,4288,22,45,19,camera;driver;ros;ros2,Other,True,False,False,False,False,False,,16,183,2014-02-19T07:52:01Z,2,217,0,docs,Organization,4288,4,22,C++;C;Python;CMake,astuff/avt_vimba_camera,humble|jazzy|kilted,inactive_6mo;is_fork
aws-robomaker-small-warehouse-world,aws-robotics,This Gazebo world is well suited for organizations who are building and testing robot applications for warehouse and logistics use cases.,https://github.com/aws-robotics/aws-robomaker-small-warehouse-world,9674,451,122,4,gazebo;ros,MIT-0,True,True,True,False,False,True,good first issue,8,10,2020-05-01T23:09:08Z,124,72098,7,docs,Organization,9674,20,451,CMake,aws-robotics/aws-robomaker-small-warehouse-world,humble|jazzy|kilted,inactive_6mo
aws_sdk_cpp_vendor,wep21,,https://github.com/wep21/aws_sdk_cpp_vendor,11,1,0,0,,Apache-2.0,True,True,False,False,False,True,good first issue,1,14,2023-08-06T05:10:42Z,5,270,0,docs,User,11,1,1,CMake,wep21/aws_sdk_cpp_vendor,humble|jazzy|kilted,inactive_6mo
backward_ros,pal-robotics,,https://github.com/pal-robotics/backward_ros,413,240,33,7,,MIT,True,False,False,False,False,True,good first issue,26,196,2013-03-15T06:10:06Z,20,3321,0,docs,Organization,413,9,240,C++;CMake;Python;Shell,pal-robotics/backward_ros,humble|jazzy|kilted,inactive_6mo
bag2_to_image,wep21,,https://github.com/wep21/bag2_to_image,21,1,0,1,,Apache-2.0,True,True,False,False,False,True,good first issue,1,12,2022-07-02T05:27:07Z,8,423,0,config,User,21,1,1,C++;CMake,wep21/bag2_to_image,humble|jazzy|kilted,inactive_6mo
bcr_bot,blackcoffeerobotics,"A mobile robot simulation with differential drive, depth camera, IMU and 2D LiDAR that supports ROS, ROS2, Gazebo, Ignition, and ISAAC Sim",https://github.com/blackcoffeerobotics/bcr_bot,11202,337,66,3,gazebo-ros;gazebo-simulator;gazebosim;gz;ignition-gazebo;ignition-robotics;robotics;robotics-simulation;ros;ros2;ros2-humble,Apache-2.0,True,False,False,False,False,True,good first issue,6,58,2022-08-22T07:03:40Z,1,92,0,docs,Organization,11202,5,337,Python;Dockerfile;CMake,blackcoffeerobotics/bcr_bot,humble|jazzy,inactive_6mo
bno055,flynneva,ROS2 driver for Bosch BNO055 using UART or I2C,https://github.com/flynneva/bno055,743,125,63,19,bno055;i2c;imu;ros2;ros2-driver;sensor-msgs;uart-communication,BSD-3-Clause,True,True,False,False,False,True,good first issue,11,152,2019-08-05T00:34:55Z,6,346,0,config,User,743,6,125,Python,flynneva/bno055,humble|jazzy|kilted,inactive_6mo
bno08x_ros2_driver,bnbhat,ROS 2 Driver for BNO08x IMU from CEVA Hilcrest Labs,https://github.com/bnbhat/bno08x_ros2_driver,2179,8,9,6,,Apache-2.0,True,False,False,False,False,True,good first issue,2,35,2024-10-13T09:09:49Z,4,202,0,docs,User,2179,1,8,C;C++;CMake;Python,bnbhat/bno08x_ros2_driver,humble,inactive_6mo
boost_geometry_util,OUXT-Polaris,,https://github.com/OUXT-Polaris/boost_geometry_util,49,0,0,0,,Apache-2.0,True,True,False,False,False,True,good first issue,3,53,2022-06-17T13:24:06Z,8,269,0,docs,Organization,49,6,0,C++;CMake,OUXT-Polaris/boost_geometry_util,humble|jazzy|kilted,inactive_6mo
ros_canopen,ros-industrial,CANopen driver framework for ROS (http://wiki.ros.org/ros_canopen),https://github.com/ros-industrial/ros_canopen,42402,371,280,74,canopen;driver;ros;ros-industrial,LGPL-3.0,True,True,False,False,False,False,,24,1139,2014-05-16T06:38:34Z,4,898,0,docs,Organization,42402,26,371,C++;CMake;Shell,ros-industrial/ros_canopen,humble|jazzy|kilted,inactive_6mo
canboat_vendor,robotic-esp,Wrapper around the Canboat repo to get it building with Colcon,https://github.com/robotic-esp/canboat_vendor,13414,1,0,1,,Apache-2.0,True,False,False,False,False,True,good first issue,1,36,2025-05-12T19:51:24Z,5,72,0,docs,Organization,13414,0,1,CMake,robotic-esp/canboat_vendor,humble|jazzy|kilted,inactive_6mo
