Name,Owner,Description,GitHub URL,Repository Size,Number of stars,Number of forks,Number of open issues,List of topics,License,has_readme,has_contributing,has_code_of_conduct,has_pr_template,has_issue_template,has_newcomer_labels,found_newcomer_labels,contributors_count,commits_count,first_contributor_date,first_commit_files_changed,first_commit_additions,first_commit_deletions,first_commit_type,owner_type,size,subscribers_count,watchers_count,languages,full_name,distros_present
rqt_topic,ros-visualization,,https://github.com/ros-visualization/rqt_topic,210,4,22,1,,BSD-3-Clause,False,True,False,False,False,False,,21,223,2011-10-01T10:16:18Z,0,0,0,code,Organization,210,17,4,Python,ros-visualization/rqt_topic,humble|jazzy|kilted
RSL,PickNikRobotics,ROS Support Library,https://github.com/PickNikRobotics/RSL,167,84,22,3,,BSD-3-Clause,True,False,False,False,False,True,good first issue,9,184,2022-08-23T15:52:35Z,10,300,0,config,Organization,167,12,84,C++;CMake,PickNikRobotics/RSL,humble|jazzy|kilted
rt_usb_9axisimu_driver,rt-net,RT-USB-9axisIMU ROS Package.,https://github.com/rt-net/rt_usb_9axisimu_driver,84,53,24,0,imu;ros;ros-driver,BSD-3-Clause,True,False,False,False,False,True,good first issue,6,63,2015-09-26T04:19:52Z,2,30,0,docs,Organization,84,3,53,C++;Python;C;CMake,rt-net/rt_usb_9axisimu_driver,humble|jazzy|kilted
rtabmap,introlab,RTAB-Map library and standalone application,https://github.com/introlab/rtabmap,67856,3622,898,563,android;ios;localization;mapping;project-tango;robotics;ros;ros2;scanning;slam,Other,True,False,False,False,False,False,,54,3612,2011-02-17T01:47:00Z,7,277,0,docs,Organization,67856,96,3622,C++;C;Java;CMake;Swift;MATLAB;Dockerfile;Shell;Python;Objective-C,introlab/rtabmap,humble|jazzy|kilted
rtcm_msgs,tilk,The rtcm_msgs package contains messages related to data in the RTCM format.,https://github.com/tilk/rtcm_msgs,18,11,24,0,,BSD-3-Clause,False,False,False,False,False,False,,3,17,2017-04-15T16:12:39Z,3,39,0,docs,User,18,2,11,CMake,tilk/rtcm_msgs,humble|jazzy|kilted
ruckig,pantor,Motion Generation for Robots and Machines. Real-time. Jerk-constrained. Time-optimal.,https://github.com/pantor/ruckig,3514,1120,232,36,jerk-constrained;motion-planning;optimal-control;robot-arm;robotics;time-optimal;trajectory-generation,MIT,True,False,False,False,False,False,,15,560,2020-12-20T11:40:54Z,18,17677,0,docs,User,3514,34,1120,C++;CMake,pantor/ruckig,humble|jazzy|kilted
rviz_satellite,nobleo,Display internet satellite imagery in RViz,https://github.com/nobleo/rviz_satellite,2598,654,265,14,,Apache-2.0,True,False,False,False,False,False,,29,200,2014-09-07T01:20:36Z,7,871,0,docs,Organization,2598,18,654,C++;CMake,nobleo/rviz_satellite,humble|jazzy|kilted
rviz_visual_tools,PickNikRobotics,C++ API wrapper for displaying shapes and meshes in Rviz,https://github.com/PickNikRobotics/rviz_visual_tools,3945,811,247,41,,,True,False,False,False,False,False,,24,407,2014-10-21T00:59:11Z,1,4,0,docs,Organization,3945,27,811,C++;CMake;C;Dockerfile;Shell,PickNikRobotics/rviz_visual_tools,humble|jazzy|kilted
sbg_ros2,SBG-Systems,ROS 2 driver for SBG Systems IMU/AHRS/INS units such as ELLIPSE or QUANTA.,https://github.com/SBG-Systems/sbg_ros2_driver,10061,47,34,6,,MIT,True,False,False,False,False,True,good first issue,10,165,2020-02-13T08:33:07Z,175,32293,1,docs,Organization,10061,9,47,C++;CMake;Python,SBG-Systems/sbg_ros2_driver,humble|jazzy|kilted
schunk_svh_library,SCHUNK-GmbH-Co-KG,Stand-alone C++ library for the Schunk SVH robot hand,https://github.com/SCHUNK-SE-Co-KG/schunk_svh_library,450,1,0,1,,GPL-3.0,True,False,False,False,False,True,good first issue,8,417,2014-01-30T16:40:45Z,2,30,0,docs,,450,1,1,C++;CMake;C,SCHUNK-SE-Co-KG/schunk_svh_library,humble
